                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4551,                 4.4497,                 1.4128,                0.00354,                0.89474,                0.41585,                0.17552,                 1.1045,                 3.7276,                0.96362,                0.00022,                0.00022,                0.00022
                      2,                 1.1338,                 2.7995,                 1.0757,                0.00375,                0.94737,                 0.6155,                 0.3044,                 1.1238,                 3.5519,                0.92371,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.0798,                 2.8152,                0.97842,                0.00375,                0.94737,                0.27692,                0.14264,                 1.2087,                 3.6176,                0.99234,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.0267,                 2.4589,                0.91955,                0.00375,                0.94737,                0.42383,                0.25525,                 1.1766,                 3.5367,                 1.0275,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.2035,                 1.9694,                 1.0373,                0.00443,                0.71955,                0.34345,                0.13238,                 1.4332,                 3.5157,                 1.0958,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.1152,                 1.8538,                 1.0488,                0.14447,                0.10526,                0.11118,                0.06008,                 1.3062,                 3.2639,                 1.0761,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.1193,                 1.8429,                  1.057,                0.59684,                0.47368,                0.48293,                0.33284,                 1.1607,                 2.8221,                 1.0857,               0.001167,               0.001167,               0.001167
                      8,                 1.0456,                 1.6312,                 1.0575,                 0.8801,                0.73684,                0.82983,                0.47728,                 1.3366,                 2.5634,                 1.1365,              0.0012416,              0.0012416,              0.0012416
                      9,                0.99821,                 1.6275,                 1.0207,                0.77717,                0.57895,                0.63839,                0.35287,                 1.2605,                 2.6187,                 1.1884,               0.001208,               0.001208,               0.001208
                     10,                 1.1061,                 1.5919,                 1.1005,                0.92104,                0.61485,                0.73314,                0.54549,                  1.091,                  2.186,                 1.0413,               0.001109,               0.001109,               0.001109
                     11,                0.92814,                 1.6703,                 1.0201,                0.51768,                0.63158,                0.56147,                0.42571,                 1.1896,                 2.3647,                 1.1206,                0.00101,                0.00101,                0.00101
                     12,                0.83407,                 1.5476,                0.98134,                 0.9278,                0.67681,                0.83786,                 0.6272,                 1.1074,                 1.7625,                0.99942,               0.000911,               0.000911,               0.000911
                     13,                0.82432,                 1.4351,                0.96528,                0.89957,                0.94302,                0.93122,                0.67128,                 1.1032,                 1.2944,                 1.0433,               0.000812,               0.000812,               0.000812
                     14,                0.73491,                  1.826,                0.85164,                0.87324,                0.94737,                0.88554,                0.59061,                 1.0597,                 1.1712,                 1.0449,               0.000713,               0.000713,               0.000713
                     15,                0.85711,                 1.3475,                0.93913,                0.89617,                0.94737,                0.91011,                0.60773,                  1.088,                 1.2047,                 1.0127,               0.000614,               0.000614,               0.000614
                     16,                0.81685,                   1.28,                0.95435,                0.94736,                0.94715,                0.92563,                0.63939,                  1.081,                 1.0793,                 1.0138,               0.000515,               0.000515,               0.000515
                     17,                0.80838,                 1.2378,                0.88884,                0.94292,                0.94737,                0.93984,                0.68183,                0.94866,                  1.009,                0.98032,               0.000416,               0.000416,               0.000416
                     18,                0.70108,                 1.2098,                0.91124,                0.94659,                0.94737,                0.94511,                0.70768,                0.96336,                0.98051,                0.96997,               0.000317,               0.000317,               0.000317
                     19,                0.75202,                 1.2041,                0.93143,                0.99726,                0.94737,                0.94511,                0.70791,                0.91048,                0.90924,                0.95661,               0.000218,               0.000218,               0.000218
                     20,                0.70383,                 1.1539,                0.90552,                0.98921,                0.94737,                0.94511,                 0.7039,                0.88846,                 0.8722,                0.93663,               0.000119,               0.000119,               0.000119
